Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100uF,
"D1, D2, D3, D4, D5, D7",D_SOD-123,6,1N4148W,
D6,LED_D5.0mm,1,LED,
J1,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
K2,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,SANYOU_SRD_Form_C,
Q2,TO-92_Inline,1,2N3904,
"R1, R2",0805,2,100k,
R3,0805,1,10k,
R4,0805,1,1k,
"SW1, SW10, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_PUSH_6mm,10,SW_Push,
U1,CERDIP-16_W7.62mm_SideBrazed_LongPads_Socket,1,4017,
"U2, U3",TO-92_Inline,2,MCP1700x-330xxTO,
