Designator,Mid X,Mid Y,Rotation,Layer
C1,117.0,-56.0375,270.0,top
D1,148.35,-77.5,0.0,top
D2,147.5,-70.5,270.0,top
D3,149.0,-84.5,0.0,top
D4,149.0,-93.5,0.0,top
D5,168.25,-60.63,270.0,top
D6,181.725,-57.5,180.0,top
D7,182.5,-64.0,270.0,top
J1,170.68,-84.29,90.0,top
J3,121.5,-56.275,0.0,top
K2,169.0,-99.0,0.0,top
Q2,180.27,-71.64,0.0,top
R1,153.5,-62.5,90.0,top
R2,159.0,-62.5,270.0,top
R3,174.0,-60.13,270.0,top
R4,177.0,-55.0,270.0,top
SW1,139.5,-79.75,0.0,top
SW10,109.0,-79.5,0.0,top
SW2,139.25,-66.25,0.0,top
SW3,139.25,-92.75,0.0,top
SW4,124.25,-106.5,0.0,top
SW5,109.0,-93.0,0.0,top
SW6,124.25,-66.25,0.0,top
SW7,124.25,-79.5,0.0,top
SW8,124.25,-93.0,0.0,top
SW9,109.0,-66.25,0.0,top
U1,161.65,-71.44,90.0,top
U2,151.14,-102.0,90.0,top
U3,151.27,-108.64,0.0,top
